src,dst,num_paths,paths
3,7,8,"[[3, 1, 4, 7], [3, 1, 5, 7], [3, 1, 9, 7], [3, 1, 4, 5, 7], [3, 1, 5, 4, 7], [3, 1, 11, 4, 7], [3, 1, 9, 4, 7], [3, 1, 4, 9, 7]]"
3,8,8,"[[3, 1, 5, 8], [3, 1, 9, 7, 8], [3, 1, 5, 7, 8], [3, 1, 4, 7, 8], [3, 1, 4, 5, 8], [3, 1, 9, 4, 7, 8], [3, 1, 9, 7, 5, 8], [3, 1, 5, 4, 7, 8]]"
3,9,8,"[[3, 1, 9], [3, 1, 4, 9], [3, 1, 11, 4, 9], [3, 1, 4, 7, 9], [3, 1, 5, 4, 9], [3, 1, 5, 7, 9], [3, 1, 11, 4, 7, 9], [3, 1, 4, 5, 7, 9]]"
3,10,8,"[[3, 1, 9, 10], [3, 1, 4, 9, 10], [3, 1, 11, 4, 9, 10], [3, 1, 4, 7, 9, 10], [3, 1, 5, 4, 9, 10], [3, 1, 5, 7, 9, 10], [3, 1, 11, 4, 7, 9, 10], [3, 1, 4, 5, 7, 9, 10]]"
3,11,8,"[[3, 1, 11], [3, 1, 4, 11], [3, 1, 9, 4, 11], [3, 1, 5, 4, 11], [3, 1, 9, 7, 4, 11], [3, 1, 5, 2, 4, 11], [3, 1, 5, 7, 4, 11], [3, 1, 5, 6, 4, 11]]"
3,12,8,"[[3, 1, 9, 13, 12], [3, 1, 4, 9, 13, 12], [3, 1, 5, 8, 14, 12], [3, 1, 9, 7, 8, 14, 12], [3, 1, 4, 7, 9, 13, 12], [3, 1, 11, 4, 9, 13, 12], [3, 1, 5, 4, 9, 13, 12], [3, 1, 4, 5, 8, 14, 12]]"
3,13,8,"[[3, 1, 9, 13], [3, 1, 4, 9, 13], [3, 1, 11, 4, 9, 13], [3, 1, 4, 7, 9, 13], [3, 1, 5, 4, 9, 13], [3, 1, 5, 7, 9, 13], [3, 1, 11, 4, 7, 9, 13], [3, 1, 4, 5, 7, 9, 13]]"
3,14,8,"[[3, 1, 5, 8, 14], [3, 1, 9, 7, 8, 14], [3, 1, 5, 7, 8, 14], [3, 1, 4, 5, 8, 14], [3, 1, 9, 13, 12, 14], [3, 1, 4, 7, 8, 14], [3, 1, 9, 7, 5, 8, 14], [3, 1, 5, 4, 7, 8, 14]]"
4,5,8,"[[4, 5], [4, 1, 5], [4, 2, 5], [4, 6, 5], [4, 7, 5], [4, 2, 6, 5], [4, 6, 2, 5], [4, 11, 1, 5]]"
4,6,8,"[[4, 6], [4, 2, 6], [4, 5, 6], [4, 2, 5, 6], [4, 1, 5, 6], [4, 5, 2, 6], [4, 7, 5, 6], [4, 1, 5, 2, 6]]"
